id,type,status,was,now,why,question
2018-Q18,mc,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Financial management strategies,exchange rates,australian businesses export to canada. what would happen if the value of the australian dollar increased compared to the canadian dollar? there would be no effect on canadian busi
2018-Q20,mc,subtopic changed,Finance > (untagged),Finance > Processes of financial management,accounts receivable turnover,what is the average number of days the business takes to collect its debts? 15 days 25 days 29 days 30 days
2018-Q21(a),sa,subtopic changed,Operations > Influences + Operations processes + Operations strategies,Operations > Operations processes,critical path analysis,• provides characteristics and features of two transformation processes 4 that should take place at the business • provides characteristics and features of one transformation proce
2018-Q21(b),sa,subtopic changed,Operations > Influences + Operations strategies,Operations > Operations strategies,quality control,• clearly identifies and provides reasons in favour of two quality 6 management strategies the business can use to overcome problems • identifies and provides reasons in favour of 
2018-Q24(b),sa,subtopic changed,Finance > Financial management strategies + Influences on financial management + Processes of financial management,Finance > Processes of financial management,accounts receivable turnover,• shows how a business could improve the management of its accounts 3 receivable turnover • sketches in general terms how a business’s accounts receivable turnover 2 could be impro
2018-Q5,mc,subtopic changed,Marketing > Marketing strategies + Role of marketing,Marketing > Marketing strategies,branding,a landscaping business includes an image of a large purple coloured tree on its website and its vehicles. which of the following is the most likely reason for this? sales promotion
2018-Q6,mc,subtopic changed,Operations > Influences + Operations strategies,Operations > Operations strategies,economies of scale,a cake manufacturer buys more sugar as its production output increases. this enables it to buy the sugar at a lower price per kilogram. what is this an example of? logistics just-i
2018-Q8,mc,subtopic changed,Human Resources > Key influences,Human Resources > Human resource strategies,arbitration (dispute resolution),the fair work commission has finalised a dispute between a large business and a union. which strategy has been used to resolve this workplace dispute? mediation arbitration negotia
2019-Q1,mc,subtopic changed,Marketing > (untagged),Marketing > Role of marketing,niche market,"sam runs a business that designs and sells custom-made, high fashion clothes. in which type of market is sam’s business operating? intermediate mass niche resource"
2019-Q11,mc,subtopic changed,Operations > Operations strategies + Role of operations management,Operations > Role of operations management,cost leadership,a sole-trader cleaning business purchases generic products to lower costs and be price competitive. this is an example of which strategy? cost leadership economies of scale invento
2019-Q13,mc,subtopic changed,Operations > Operations processes + Operations strategies + Role of operations management,Operations > Operations processes,Gantt chart,the table shows a gantt chart. 31/1/20 29/2/20 31/3/20 30/4/20 receive customer order purchase stock prepare tools for manufacture receive raw materials manufacture item quality im
2019-Q15,mc,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Processes of financial management,balance sheet,use the information to answer question 15. balance sheet as at 30 june 2019 ($) ($) current assets current liabilities cash 10 000 accounts payable 10 000 accounts receivable 5 000
2019-Q19,mc,subtopic changed,Operations > Operations strategies,Operations > Operations processes,critical path predecessors,"which tasks need to be completed prior to completing task d? a, b only a, b, c only a, b, e, f only a, b, c, e, f only"
2019-Q20,mc,subtopic changed,Operations > Influences + Operations processes + Operations strategies,Operations > Operations processes,critical path recalculated,an improvement in technology reduces the time between task c and task d to one day. what is the new length of the critical path? 3 days 5 days 6 days 10 days
2019-Q21(b),sa,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Role of marketing,interdependence,• clearly provides why and how marketing and finance are interdependent 4 for this business • provides why and/or how marketing and finance are interdependent for 3 this business •
2019-Q22(a),sa,subtopic changed,Finance > Processes of financial management + Role of financial management,Finance > Processes of financial management,ethical issues in reporting,• sketches in general terms one ethical issue related to the preparation of 2 financial reports • recognises one ethical issue related to the preparation of financial 1 reports an 
2019-Q23(c),sa,subtopic changed,Human Resources > Human resource strategies + Key influences,Human Resources > Key influences,changing work patterns,• makes a clear judgement on the impact of one social influence on 5 human resource management • makes a judgement on the impact of one social influence on human 4 resource managem
2019-Q24(c),sa,subtopic changed,Operations > Operations processes,Operations > Influences,social responsibility cost,• provides detailed reasons why this business might be reluctant to 4 become more socially responsible • provides reasons why this business might be reluctant to become more 3 soci
2019-Q7,mc,subtopic changed,Marketing > Influences on marketing + Marketing process,Marketing > Influences on marketing,sugging,which term refers to a sales technique disguised as market research? sugging telemarketing implied conditions engaging in fair competition influences on marketing
2019-Q8,mc,subtopic changed,Finance > Financial management strategies + Influences on financial management,Finance > Influences on financial management,global economic outlook,"what effect would a global downturn in the economic outlook have on australia’s unemployment, output and exchange rates? unemployment output exchange rates increase increase decrea"
2020-Q1,mc,subtopic changed,Human Resources > Processes of human resource management,Human Resources > Human resource strategies,training v development,which row of the table shows benefits of both staff training and staff development? staff training staff development increase staff skills increased staff turnover increase staff s
2020-Q13,mc,subtopic changed,Operations > Influences + Operations strategies,Operations > Operations strategies,scanning and learning,"in order to achieve best practice, a mobile phone company examines global trends in phone technology before designing and producing their phones. what operations strategy is this b"
2020-Q15,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations strategies,performance objectives,a sandwich shop bakes a variety of breads throughout the day. customers select their choice of bread and filling(s) and sandwiches are then made to order. which pair of performance
2020-Q16,mc,subtopic changed,Finance > (untagged),Finance > Processes of financial management,actual v planned results,a bathroom products business cannot sustain the production of their current range. a consultant has advised the business to reduce the product range. the actual and planned results
2020-Q19,mc,subtopic changed,Finance > Role of financial management,Finance > Processes of financial management,comparative ratio analysis,the liquidity position of this business in 2020 indicates that it is better than the industry average and has improved since 2019. better than the industry average and has worsened
2020-Q21(a),sa,subtopic changed,Human Resources > Human resource strategies + Key influences,Human Resources > Key influences,unions as stakeholders,• sketches in general terms the role of one stakeholder who represents 2 the interests of employees in workplace disputes • provides some relevant information about one stakeholder
2020-Q23(a),sa,subtopic changed,Operations > Operations strategies + Role of operations management,Operations > Role of operations management,strategic role,• provides detailed ways in which the strategic role of operations 4 management could assist this business • provides ways in which the strategic role of operations management 3 co
2020-Q23(b),sa,subtopic changed,Operations > Influences + Operations strategies,Operations > Influences,technology as an influence,• draws out and relates the implications of using operations strategies to 6 address two operations influences affecting the business • provides implications of operations strategi
2020-Q24(c),sa,subtopic changed,Finance > Processes of financial management,Finance > Financial management strategies,discounts for early payment,• provides reasons in favour of one financial strategy this business could 3 implement to improve efficiency in the collection of accounts receivable • sketches in general terms on
2020-Q24(d),sa,subtopic changed,Finance > Processes of financial management + Role of financial management,Finance > Processes of financial management,comparative ratio analysis,• provides an explanation of how two ways of comparative ratio analysis 4 can be used to assess the financial position of the business • sketches in general terms how two ways of c
2020-Q3,mc,subtopic changed,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Role of human resource management,outsourcing the HR function,a firm has been hiring its own staff but due to growth no longer has time to satisfactorily manage this process. what could the firm’s human resource manager use to resolve this is
2020-Q4,mc,subtopic changed,Marketing > (untagged),Marketing > Influences on marketing,consumer law - refunds,australian businesses are required by law to offer a refund if the product or service does not match the description. is no longer required by the customer. is damaged by the custo
2020-Q7,mc,subtopic changed,Operations > Operations strategies + Role of operations management,Operations > Operations strategies,outsourcing v local manufacture,what is the most likely reason for an australian clothing business choosing to manufacture locally? to achieve cost leadership to maintain quality control to focus on other key bus
2021-Q1,mc,subtopic changed,Finance > Processes of financial management,Finance > Financial management strategies,cost centres,the role of a cost centre within a business is to monitor and control assets. expenses. liabilities. receipts.
2021-Q11,mc,subtopic changed,Operations > Influences + Operations processes + Operations strategies,Operations > Operations strategies,global sourcing,a mobile phone manufacturer decides to globally source inputs that they had previously produced themselves. which of the following shows possible negative effects of this decision?
2021-Q12,mc,subtopic changed,Operations > Influences + Operations processes,Operations > Influences,corporate social responsibility,a manager at a fast-food business wants to change the operations process in response to the influence of corporate social responsibility. which action would achieve this objective?
2021-Q13,mc,subtopic changed,Finance > (untagged),Finance > Processes of financial management,income statement relationships,consider the following financial information provided by a business. year revenue ($m) gross profit ($m) net profit ($m) 1 100 80 30 28 0 60 30 which of the following must have occ
2021-Q14,mc,subtopic changed,Operations > Operations strategies,Operations > Operations processes,outputs - warranties,a car manufacturer’s marketing manager suggests to the operations manager that they increase the warranty period from 3 to 5 years in order to increase market share. the operations
2021-Q15,mc,subtopic changed,Human Resources > Human resource strategies + Key influences,Human Resources > Effectiveness of human resource management,absenteeism/accidents,a food delivery business made a recent change to their human resource management strategy with the following results. indicator change absenteeism 30% decrease deliveries per drive
2021-Q16,mc,subtopic changed,Marketing > Marketing strategies,Marketing > Role of marketing,production -> selling approach,why might a business move from a production approach to a selling approach? in response to increased competition in order to increase promotional expenditure in order to better und
2021-Q18,mc,subtopic changed,Finance > Influences on financial management + Role of financial management,Finance > Financial management strategies,factoring,"when a business uses factoring, they improve their cash flow by increasing their revenue. cash flow but reduce their profitability. working capital by reducing their costs. working"
2021-Q19,mc,subtopic changed,Finance > Financial management strategies + Influences on financial management,Finance > Financial management strategies,hedging,an australian farmer has been contracted to sell 1000 tonnes of oranges to an american juice manufacturer at a set price. payment is required in 60 days in australian dollars. whic
2021-Q2,mc,subtopic changed,Human Resources > Human resource strategies,Human Resources > Role of human resource management,what the HR function does,which pair of business functions is conducted by human resource management? pricing and scheduling scheduling and induction induction and recruitment recruitment and receivables
2021-Q22(b),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management + Role of financial management,Finance > Financial management strategies,exchange rate risk,• provides a cause and effect relationship between the choice to borrow 3 funds from the usa and financial risk for the business • sketches in general terms how borrowing from the 
2021-Q22(c),sa,subtopic changed,Finance > Processes of financial management + Role of financial management,Finance > Processes of financial management,gearing,• provides detailed reasons for the changes in the current and forecast 5 profitability and gearing of this business • provides reasons for the changes in the current and forecast 
2021-Q23(a),sa,subtopic changed,Human Resources > (untagged),Human Resources > Effectiveness of human resource management,corporate culture,• sketches in general terms how corporate culture can affect staff turnover 2 • provides relevant information about corporate culture or staff turnover 1 corporate culture reflects
2021-Q23(c),sa,subtopic changed,Human Resources > Processes of human resource management,Human Resources > Key influences + Processes of human resource management,,• provides detailed advantages and/or disadvantages of the possible 6 implications of these influences on human resource management • provides advantages and/or disadvantages of po
2021-Q24(a),sa,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Marketing strategies,global customisation,• provides a relationship between customisation as a global marketing 3 strategy and it’s benefits • provides characteristics and features of customisation as a global 2 marketing 
2021-Q24(c),sa,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Influences on marketing,consumer law - warranties,• demonstrates a thorough understanding of how aspects of the 4 advertisement might breach australian consumer laws • demonstrates how aspects of the advertisement might breach aus
2021-Q3,mc,subtopic changed,Operations > Influences + Operations strategies,Operations > Operations strategies,leading edge technology,which row of the table shows both an advantage and a disadvantage of a business investing in leading edge technology? advantage disadvantage higher quality output high initial inve
2021-Q6,mc,subtopic changed,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Key influences + Processes of human resource management,,which row of the table shows how a recession would affect human resource management (hrm) processes and strategies in the tourism industry? effect on hrm processes effect on hrm st
2021-Q8,mc,subtopic changed,Marketing > (untagged),Marketing > Role of marketing,types of markets,a farmer sells vegetables to a manufacturer of tinned vegetables. the manufacturer then sells the tinned vegetables to supermarkets. which row of the table shows the markets target
2021-Q9,mc,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Marketing process,monitoring & controlling,a business spends one million dollars on an advertising campaign. which pair of analyses could this business use to evaluate the effectiveness of this marketing strategy? market sh
2022-Q12,mc,subtopic changed,Operations > Operations strategies,Operations > Role of operations management,service differentiation,which of the following is an example of service differentiation? acar manufacturer supplies cars with premium tinted windows. achemist issues a patient with medication in exchange 
2022-Q16,mc,subtopic changed,Marketing > (untagged),Marketing > Marketing strategies,penetration pricing,which of the following could be a disadvantage of using a price penetration strategy for a business? alarge number of products are sold quickly. the business has problems in trying
2022-Q17,mc,subtopic changed,Marketing > (untagged),Marketing > Role of marketing,types of markets,a florist purchases flowers to create flower arrangements. what type of market does the florist operate in? consumer industrial mass resource
2022-Q18,mc,subtopic changed,Finance > Influences on financial management + Role of financial management,Finance > Financial management strategies,sale and lease back,a business owns a $2 million building with a $500 000 mortgage. they decide to sell the building and lease it back from the new owners over five years. what is the likely purpose o
2022-Q20,mc,subtopic changed,Finance > Processes of financial management + Role of financial management,Finance > Processes of financial management,,a business provides the following financial information. year 1 ($) year 2 ($) sales 600 000 700 000 cost of goods sold 200 000 200 000 gross profit ? ? expenses 250 000 200 000 ne
2022-Q22(c),sa,subtopic changed,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Human resource strategies,performance management,• provides the ways performance appraisals are beneficial to employers 3 • provides a way performance appraisals are beneficial to employers 2 • makes a relevant statement about pe
2022-Q23(a),sa,subtopic changed,Finance > (untagged),Finance > Processes of financial management,expense ratio,• correctly calculates the efficiency of the business 1 total expenses ÷ total sales = $600 000 ÷ 1 500 000 = 40% (or 0.4 : 1)
2022-Q24(b),sa,subtopic changed,Marketing > (untagged),Marketing > Marketing process,financial forecast,• demonstrates a clear understanding of the way the business will know 3 the marketing plan has been successful • demonstrates an understanding of the way the business will know th
2022-Q24(c),sa,subtopic changed,Marketing > Marketing process,Marketing > Role of marketing,marketing v selling approach,• provides reasons why the business should adopt the marketing approach 4 instead of the selling approach • provides a reason why the business should adopt the marketing 3 approach
2022-Q4,mc,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Influences on marketing,quality expectations,a watch manufacturer uses price-skimming strategies and provides a lifetime warranty on their products. what would most likely have influenced the implementation of these strategie
2022-Q5,mc,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Marketing strategies,psychographic segmentation,"the characteristics of lifestyle, motivation and personality are most often used in which market segmentation strategy? behavioural demographic geographic psychographic"
2022-Q7,mc,subtopic changed,Operations > Influences + Operations processes + Operations strategies,Operations > Operations strategies,global sourcing,a large clothing manufacturer in nsw wants to reduce input costs. which strategy would achieve this objective? increasing product variety increasing employee training implementing 
2022-Q8,mc,subtopic changed,Human Resources > (untagged),Human Resources > Human resource strategies,training,a business has implemented a training program in the use of new machinery on the factory floor for its employees. what is the main reason for this training program? to prevent acci
2023-Q11,mc,subtopic changed,Human Resources > Human resource strategies,Human Resources > Key influences,Fair Work Commission,which of the following is involved in making workplace agreements and resolving workplace disputes? fair work commission australian human rights commission australian securities an
2023-Q12,mc,subtopic changed,Finance > Financial management strategies + Influences on financial management,Finance > Influences on financial management,long-term sources of finance,an australian theme park wants to implement a new point-of-sale system that allows improved tracking of stock levels. the system will cost $185 000 to establish. which long-term so
2023-Q13,mc,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Influences on marketing,consumer law,"a customer returns a recently purchased 5g mobile phone to the place of purchase as the phone was faulty. under consumer law, why must the business refund the customer the cost of "
2023-Q14,mc,subtopic changed,Finance > Influences on financial management,Finance > Financial management strategies,exchange rates,the australian dollar increases from 0.50 to 0.70 usd. what impact would this have on the goods imported to australia and the goods exported to the united states? imports exports m
2023-Q15,mc,subtopic changed,Operations > Operations strategies + Role of operations management,Operations > Operations strategies,new product design and development,a large construction company has decided to focus their operations on design and innovation. which of the following best describes this operations management strategy? outsourcing 
2023-Q18,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations processes,critical path delay,task ec is delayed and takes an additional 7 days. by how many days will the length of the critical path change? 0 days 2 days 4 days 6 days
2023-Q20,mc,subtopic changed,Finance > Influences on financial management + Processes of financial management,Finance > Processes of financial management,balance sheet,the following is an extract from a business balance sheet. assets ($) liabilities ($) cash 6 500 accounts payable 18 500 accounts receivable 12 500 overdraft 3 500 inventory 40 000
2023-Q21(a),sa,subtopic changed,Operations > Influences + Operations processes + Operations strategies,Operations > Operations strategies,global sourcing,• outlines a potential issue this business could face in relation to both cost 2 and quality of outputs • provides some relevant information 1 the business can reduce the costs of 
2023-Q21(b),sa,subtopic changed,Operations > Influences + Operations processes + Operations strategies,Operations > Operations strategies,economies of scale,• explains the benefits of achieving economies of scale for both the 3 business and consumers • describes the benefit(s) of achieving economies of scale for the business 2 and/or c
2023-Q21(c),sa,subtopic changed,Operations > Influences + Operations processes + Operations strategies + Role of operations management,Operations > Operations strategies,leading edge technology,• provides a thorough explanation of why staff and management in this 5 business might be resistant to this change • provides a sound explanation of why staff and management in thi
2023-Q22(b),sa,subtopic changed,Human Resources > (untagged),Human Resources > Key influences,superannuation / NES,• outlines two human resource issues found in the advertisement 3 • outlines an issue found in the advertisement 2 • provides some relevant information 1 superannuation is a legal 
2023-Q23(a),sa,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Marketing process,product life cycle - decline,• outlines the current product life cycle stage 2 • provides some relevant information 1 the cereal manufacturer is in the decline stage of the product life cycle. this is the resu
2023-Q23(b),sa,subtopic changed,Marketing > Marketing process + Marketing strategies + Role of marketing,Marketing > Role of marketing,niche market,• demonstrates a clear understanding of how the niche market approach 3 could increase sales for this manufacturer • demonstrates features of a niche market and/or how this approac
2023-Q23(c),sa,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Marketing strategies,global customisation,• provides comprehensive support for the use of one global marketing 5 strategy to expand into this global market • provides sound support for the use of one global marketing strat
2023-Q4,mc,subtopic changed,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Key influences,workers compensation,"an employee receives an electrical burn while working. the employee requires hospital treatment and is unable to return to work for three months. as a result of this injury, what s"
2023-Q8,mc,subtopic changed,Finance > Influences on financial management,Finance > Financial management strategies,international payment methods,an export company based in sydney sells australian-made art to the asian market. which form of payment has the lowest level of risk for the exporter? clean payment letter of credit
2024-Q11,mc,subtopic changed,Marketing > Marketing strategies,Marketing > Influences on marketing,sugging,a distributor of a new mop surveys people in a shopping centre about their cleaning habits. the distributor then uses persuasive selling techniques to try and convince the shoppers
2024-Q14,mc,subtopic changed,Finance > (untagged),Finance > Processes of financial management,cash flow statement,the table shows the cash flow information for a business. jul aug sep opening balance ($) 40 000 cash in ($) 30 000 10 000 22 000 cash out ($) 20 000 13 000 15 000 what is the clos
2024-Q18,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations processes,critical path analysis,"which of the following are common characteristics of a critical path analysis? what tasks need to be done, how long they take, delivery timing what tasks need to be done, how long "
2024-Q2,mc,subtopic changed,Operations > Influences + Operations strategies,Operations > Influences,legal regulation,the banning of dangerous goods such as asbestos is due to global sourcing. business policies. legal regulations. operational regulations.
2024-Q20,mc,subtopic changed,Marketing > Marketing strategies,Marketing > Marketing process,market objectives & monitoring,a company sets its primary marketing objective for 2025 to be the dominant market leader in the product it distributes. its sales results are shown in the table. year advertising b
2024-Q21(a),sa,subtopic changed,Operations > (untagged),Operations > Role of operations management,interdependence,• provides an explanation of the interdependence between operations and 3 one other business function for this business • demonstrates some understanding of the interdependence bet
2024-Q22(c),sa,subtopic changed,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Processes of human resource management,maintenance,• provides a thorough justification of the importance of maintenance in 5 human resource management for this business • provides a sound justification of the importance of maintena
2024-Q23(a),sa,subtopic changed,Marketing > (untagged),Marketing > Role of marketing,interdependence,• outlines how marketing of this business relies on a human resources 2 department • provides some relevant information 1 for this piano-teaching business to advertise and market i
2024-Q23(c),sa,subtopic changed,Marketing > Marketing process + Marketing strategies,Marketing > Marketing strategies,market segmentation,• proposes two relevant ways segmentation can be used by this 4 business to continue its growth • proposes two ways segmentation can be used by this business 3 • proposes one way s
2024-Q24(a),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management + Role of financial management,Finance > Processes of financial management,current ratio,• calculates the correct current ratio and shows working 2 • provides some relevant information 1 current assets = (cash at bank + accounts receivable + inventory) ÷ (overdraft + a
2024-Q24(b),sa,subtopic changed,Finance > Processes of financial management,Finance > Financial management strategies,discounts for early payment,• provides an explanation of how offering discounts for early payments 4 can improve cash flow and reduce working capital • demonstrates a sound understanding of how offering disco
2024-Q4,mc,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Marketing strategies,price skimming,a retailer sells a new style of sunglasses at a significantly higher price for the first month they are sold. what pricing strategy is being used by the retailer? price skimming pr
2024-Q9,mc,subtopic changed,Operations > Operations strategies,Operations > Role of operations management,role of the operations manager,the role of an operations manager is to reduce waste and increase efficiency. reduce output and increase customisation. improve customisation and decrease speed. improve quality an
2025-Q1,mc,subtopic changed,Operations > Operations processes + Operations strategies,Operations > Operations strategies,performance objective - cost,which performance objective is a business trying to achieve by minimising waste in production? cost flexibility speed volume
2025-Q12,mc,subtopic changed,Operations > Influences + Operations strategies,Operations > Operations strategies,resistance to change,a business is introducing leading edge technology and is experiencing employee resistance. what is the most likely reason for this resistance to change? fear of the unknown redunda
2025-Q14,mc,subtopic changed,Marketing > (untagged),Marketing > Marketing strategies,penetration pricing,which of the following marketing strategies could a new gym adopt in order to attract customers and become a viable business? charge a high price during the introductory stage set 
2025-Q15,mc,subtopic changed,Human Resources > Key influences,Human Resources > Effectiveness of human resource management,absenteeism/stress indicators,a graph of employee data is shown. 40 35 30 25 20 15 10 5 0 month 1 month 2 month 3 month 4 month 5 seeyolpme fo .on employee data key performance stress levels absenteeism what wo
2025-Q16,mc,subtopic changed,Finance > Financial management strategies,Finance > Financial management strategies + Processes of financial management,cash flow,an extract from a business document is shown. july aug sept oct nov dec opening 2 000 balance cash in ($) 5 000 3 000 5 000 8 000 8 000 4 000 cash out ($) 5 000 5 000 7 000 3 000 1
2025-Q20,mc,subtopic changed,Finance > Processes of financial management + Role of financial management,Finance > Processes of financial management,gearing,a business calculated its gearing ratio as follows. gearing ratio 2023 75% 2024 66% which of the following is a correct statement about the business in 2024? the debt to equity rat
2025-Q22(a),sa,subtopic changed,Marketing > Marketing strategies,Marketing > Marketing process,SWOT,• identifies one weakness and one threat for this business 2 • identifies one weakness or one threat for this business 1 weakness potential threats leaking bottles changing attitud
2025-Q22(c),sa,subtopic changed,Marketing > Marketing strategies,Marketing > Marketing process,monitoring & controlling,• provides an explanation of the importance of monitoring and controlling 3 the marketing strategies for this business • demonstrates some understanding of monitoring and controlli
2025-Q23(b),sa,subtopic changed,Finance > Processes of financial management + Role of financial management,Finance > Processes of financial management,comparative ratio analysis,• demonstrates a comprehensive understanding of how comparative ratio 4 analysis can be used to improve the financial outcomes of the business • demonstrates a sound understanding 
2025-Q23(c),sa,subtopic changed,Finance > Influences on financial management + Processes of financial management + Role of financial management,Finance > Influences on financial management,global economic outlook,• explains how two global market influences could affect the solvency of 4 this business • outlines two global market influences that affect the solvency of this 3 business • outli
2025-Q4,mc,subtopic changed,Human Resources > (untagged),Human Resources > Key influences,antidiscrimination,an employee is applying for maternity leave. she is told her job will not exist when she plans to return to work. what form of discrimination may have occurred? age disability raci
2025-Q5,mc,subtopic changed,Marketing > Influences on marketing + Marketing strategies,Marketing > Influences on marketing,deceptive & misleading advertising,the price of a fitness watch is advertised as on special for $159. the store usually sells this watch for $159. which area of consumer law has been broken? warranties implied condi
2012-Q10,mc,unchanged,Human Resources > Human resource strategies,Human Resources > Human resource strategies,performance management,sam’s job is to set goals for employees and give them feedback on the achievement of their goals. what best describes this process? dispute resolution job design performance manage
2012-Q11,mc,unchanged,Operations > Operations strategies,Operations > Operations strategies,logistics,which of the following is an essential aspect of logistics? undertaking a skills audit checking the quality of all output materials handling and packaging the creation of a budget 
2012-Q12,mc,unchanged,Human Resources > Human resource strategies,Human Resources > Human resource strategies,leadership style,a manager builds relationships with individual employees and encourages their contribution to decision-making in the workplace. what leadership style is this? autocratic democratic
2012-Q13,mc,unchanged,Human Resources > Human resource strategies,Human Resources > Human resource strategies,grievance procedure,robyn believes her manager has unfairly denied her a bonus. she consults her employee handbook which instructs her to put her complaint in writing and send copies to the manager an
2012-Q17,mc,unchanged,Marketing > Marketing strategies,Marketing > Marketing strategies,loss leader,"a fast food outlet advertises a large soft drink for only 20 cents, knowing that customers will also buy additional items from the menu once they are in the store. what pricing str"
2012-Q2,mc,unchanged,Operations > Operations processes,Operations > Operations processes,,a factory manager is deciding the best order in which to complete tasks. which operations process is being carried out? monitoring scheduling sequencing task design
2012-Q23(a),sa,unchanged,Marketing > Marketing strategies,Marketing > Marketing strategies,global branding,• provides one benefit to xyz ltd of using global branding 2 • general statement about global branding or its benefits 1
2012-Q23(b),sa,unchanged,Marketing > Marketing strategies,Marketing > Marketing strategies,physical distribution,• gives characteristics and features of two relevant physical distribution 4 issues • gives characteristics and features of one relevant physical distribution 3 issue and • sketche
2012-Q23(c),sa,unchanged,Marketing > Marketing strategies,Marketing > Marketing strategies,customise v standardise,• clearly draws out and relates implications of the link between marketing 5–6 and finance when deciding to customise or standardise • explains the link between finance and marketi
2012-Q3,mc,unchanged,Marketing > Marketing process,Marketing > Marketing process,product life cycle stage,free samples of a breakfast cereal are given to supermarket customers to try. for which stage of the product life cycle is this most likely to be an appropriate strategy? establish
2012-Q5,mc,unchanged,Human Resources > Key influences,Human Resources > Key influences,,which of the following is an entitlement of australian employees? wage increases every year cost of living wage increases minimum employment standards new employment contracts ever
2012-Q7,mc,unchanged,Operations > Operations processes,Operations > Operations processes,variation in demand,"in winter, the number of beach lifeguards employed by a local council is reduced. what has influenced the transformation process in this situation? variation in demand variation in"
2013-Q10,mc,unchanged,Finance > Processes of financial management,Finance > Processes of financial management,liquidity + efficiency ratios,which of the following would improve the financial position of a business? lower current ratio and lower accounts receivable turnover ratio higher current ratio and lower accounts 
2013-Q12,mc,unchanged,Marketing > Marketing strategies,Marketing > Marketing strategies,positioning,a car company advertises its new luxury car as more exciting and fun to drive than its competitors’ cars. what strategy is the car company using? opinion leader personal selling po
2013-Q13,mc,unchanged,Human Resources > Key influences,Human Resources > Key influences,NES,"full­time, permanent employees in australia are generally entitled to four weeks annual leave. what is the legal basis for this? common law industry awards national employment stan"
2013-Q17,mc,unchanged,Operations > Operations processes,Operations > Operations processes,volume/variety/visibility -> unit cost,"which of the following combinations would result in the lowest production cost per unit? limited customer contact, limited product variety and low volume limited customer contact, "
2013-Q21(a),sa,unchanged,Human Resources > Human resource strategies,Human Resources > Human resource strategies,rewards,"• provides characteristics and features of employee rewards to show how they can be used to improve business performance, with the use of an 4 appropriate example • provides charac"
2013-Q23(a),sa,unchanged,Operations > Operations strategies,Operations > Operations strategies,e-commerce / SCM,• sketches in general terms a way that e-commerce can assist casey with 2 supply chain management • names a feature of e-commerce or supply chain management 1 electronic ordering i
2013-Q23(c),sa,unchanged,Operations > Operations strategies,Operations > Operations strategies,supply chain management,• supports a conclusion showing whether supply chain management is 4 important for the business or not • provides characteristics and features of supply chain management 3 • sketch
2013-Q25(b),sa,unchanged,Marketing > Role of marketing,Marketing > Role of marketing,niche market,• makes a judgement based on criteria of the decision to adopt the niche 6 market approach • identifies issues and provides points for and/or against the niche market 5 approach • 
2013-Q3,mc,unchanged,Human Resources > Human resource strategies + Processes of human resource management,Human Resources > Processes of human resource management + Human resource strategies,,a business places a job vacancy advertisement on its website. which aspect of human resource management is this an example of? development maintenance recruitment selection marketi
2014-Q1,mc,unchanged,Marketing > Influences on marketing,Marketing > Influences on marketing,psychological factor,sally shops at a particular store as she has always received excellent service there. what type of factor is influencing her choice of store? economic government psychological soci
2014-Q10,mc,unchanged,Finance > Processes of financial management,Finance > Processes of financial management,income statement,which of the following would be found on an income statement? accounts payable gross profit intangibles net assets
2014-Q11,mc,unchanged,Marketing > Marketing strategies,Marketing > Marketing strategies,global customisation,an australian business sells its bonza pies in both australia and china. bonza pies sold in china are made to a different recipe. what is this an example of? customisation and hedg
2014-Q12,mc,unchanged,Human Resources > Key influences,Human Resources > Key influences,changing work patterns,work patterns in australia have changed over the past 20 years. an example of such a change is the decrease in casualisation. part-time positions. female participation. full-time m
2014-Q13,mc,unchanged,Human Resources > Human resource strategies,Human Resources > Human resource strategies,leadership style,"what is a reason for a business to use a democratic leadership style? it has a project with a tight deadline. it has experienced, highly skilled employees. there is a need for more"
2014-Q15,mc,unchanged,Operations > Operations strategies,Operations > Operations strategies,economies of scale,what is the most likely result of a business achieving economies of scale? greater flexibility higher sales price per unit greater efficiencies in production higher average costs o
